迭代次数,质量(g),r_plus系数,r_minus系数,容量(mAh)
1,0.050000000000,1.000000000000,1.000000000000,100.000000000000
2,0.050000000000,1.000000000000,1.000000000000,100.000000000000
3,0.050000000000,1.000000000000,1.000000000000,100.000000000000
4,0.050000000000,1.000000000000,1.000000000000,100.000000000000
5,0.050000000000,1.000000000000,1.000000000000,100.000000000000
6,0.050000000000,1.000000000000,1.000000000000,100.000000000000
7,0.050000000000,1.000000000000,1.000000000000,100.000000000000
8,0.050000000000,1.000000000000,1.000000000000,100.000000000000
9,0.050000000000,1.000000000000,1.000000000000,100.000000000000
10,0.050000000000,1.000000000000,1.000000000000,100.000000000000
11,0.050000000000,1.000000000000,1.000000000000,100.000000000000
12,0.050000000000,1.000000000000,1.000000000000,100.000000000000
13,0.050000000000,1.000000000000,1.000000000000,100.000000000000
14,0.050000000000,1.000000000000,1.000000000000,100.000000000000
15,0.050000000000,1.000000000000,1.000000000000,100.000000000000
16,0.050000000000,1.000000000000,1.000000000000,100.000000000000
17,0.050000000000,1.000000000000,1.000000000000,100.000000000000
18,0.050000000000,1.000000000000,1.000000000000,100.000000000000
19,0.050000000000,1.000000000000,1.000000000000,100.000000000000
20,0.050000000000,1.000000000000,1.000000000000,100.000000000000
21,0.050000000000,1.000000000000,1.000000000000,100.000000000000
22,0.050000000000,1.000000000000,1.000000000000,100.000000000000
23,0.050000000000,1.000000000000,1.000000000000,100.000000000000
24,0.050000000000,1.000000000000,1.000000000000,100.000000000000
25,0.050000000000,1.000000000000,1.000000000000,100.000000000000
26,0.050000000000,1.000000000000,1.000000000000,100.000000000000
27,0.050000000000,1.000000000000,1.000000000000,100.000000000000
28,0.050000000000,1.000000000000,1.000000000000,100.000000000000
29,0.050000000000,1.000000000000,1.000000000000,100.000000000000
30,0.050000000000,1.000000000000,1.000000000000,100.000000000000
31,0.050000000000,1.000000000000,1.000000000000,100.000000000000
32,0.050000000000,1.000000000000,1.000000000000,100.000000000000
33,0.050000000000,1.000000000000,1.000000000000,100.000000000000
34,0.050000000000,1.000000000000,1.000000000000,100.000000000000
35,0.050000000000,1.000000000000,1.000000000000,100.000000000000
36,0.050000000000,1.000000000000,1.000000000000,100.000000000000
37,0.050000000000,1.000000000000,1.000000000000,100.000000000000
38,0.050000000000,1.000000000000,1.000000000000,100.000000000000
39,0.050000000000,1.000000000000,1.000000000000,100.000000000000
40,0.050000000000,1.000000000000,1.000000000000,100.000000000000
41,0.050000000000,1.000000000000,1.000000000000,100.000000000000
42,0.050000000000,1.000000000000,1.000000000000,100.000000000000
43,0.050000000000,1.000000000000,1.000000000000,100.000000000000
44,0.050000000000,1.000000000000,1.000000000000,100.000000000000
45,0.050000000000,1.000000000000,1.000000000000,100.000000000000
46,0.050000000000,1.000000000000,1.000000000000,100.000000000000
47,0.050000000000,1.000000000000,1.000000000000,100.000000000000
48,0.050000000000,1.000000000000,1.000000000000,100.000000000000
49,0.050000000000,1.000000000000,1.000000000000,100.000000000000
50,0.050000000000,1.000000000000,1.000000000000,100.000000000000
51,0.050000000000,1.000000000000,1.000000000000,100.000000000000
52,0.050000000000,1.000000000000,1.000000000000,100.000000000000
53,0.050000000000,1.000000000000,1.000000000000,100.000000000000
54,0.050000000000,1.000000000000,1.000000000000,100.000000000000
55,0.050000000000,1.000000000000,1.000000000000,100.000000000000
56,0.050000000000,1.000000000000,1.000000000000,100.000000000000
57,0.050000000000,1.000000000000,1.000000000000,100.000000000000
58,0.050000000000,1.000000000000,1.000000000000,100.000000000000
59,0.050000000000,1.000000000000,1.000000000000,100.000000000000
60,0.050000000000,1.000000000000,1.000000000000,100.000000000000
61,0.050000000000,1.000000000000,1.000000000000,100.000000000000
62,0.050000000000,1.000000000000,1.000000000000,100.000000000000
63,0.050000000000,1.000000000000,1.000000000000,100.000000000000
64,0.050000000000,1.000000000000,1.000000000000,100.000000000000
